applicant_name,jamb_reg_number,utme_score,olevel_math,olevel_english,olevel_subject_1,olevel_grade_1,olevel_subject_2,olevel_grade_2,olevel_subject_3,olevel_grade_3,olevel_avg_score,course_applied,departmental_cutoff,outcome
Aisha Adeyemi,202596001338CF,227,A1,B3,Biology,B2,Chemistry,C5,Further Mathematics,C5,3.8,Medicine and Surgery,280,BORDERLINE
Emmanuel Anyanwu,202526542351CF,205,B2,C5,Mathematics,C4,Economics,B2,Further Mathematics,C4,3.4,Economics,190,QUALIFIED
Aisha Adeyemi,202561849593CF,232,A1,C6,English Language,C5,Literature,C6,Further Mathematics,C5,3.4,Mass Communication,180,QUALIFIED
Solomon Eze,202575255341EG,263,C5,C6,Mathematics,F9,Physics,D7,Further Mathematics,D7,2.0,Computer Science,200,REJECTED
Aisha Bello,202550305641EG,201,C5,B2,Mathematics,B3,Economics,F9,Further Mathematics,C5,2.8,Economics,190,ALTERNATIVE_COURSE
Tunde Nwosu,202542388496HJ,201,D7,B3,Mathematics,C5,Fine Art,B3,Further Mathematics,D7,3.0,Architecture,200,REJECTED
Amaka Nwosu,202526916697FG,265,B2,F9,Biology,C4,Chemistry,A1,Further Mathematics,A1,3.4,Nursing Science,200,ALTERNATIVE_COURSE
Daniel Anyanwu,202551462704EG,236,D7,A1,Mathematics,C5,Economics,C5,Further Mathematics,C4,3.2,Economics,190,ALTERNATIVE_COURSE
Oluwaseun Abubakar,202528809570CF,193,D7,D7,Mathematics,B3,Economics,C5,Further Mathematics,C5,2.8,Economics,190,REJECTED
Chukwuemeka Adeyemi,202571822782FG,228,D7,C6,Biology,B3,Chemistry,A1,Further Mathematics,D7,3.2,Nursing Science,200,REJECTED
Ibrahim Musa,202546578713EG,193,D7,C4,Mathematics,B2,Economics,C4,Further Mathematics,C5,3.0,Economics,190,ALTERNATIVE_COURSE
Blessing Bello,202510518347EG,193,B3,C4,Biology,B2,Chemistry,B2,Further Mathematics,A1,4.0,Medicine and Surgery,280,BORDERLINE
Adaeze Bello,202511656670CF,218,B2,E8,Mathematics,C4,Economics,C4,Further Mathematics,C6,2.8,Economics,190,ALTERNATIVE_COURSE
Tunde Nwosu,202562473178CF,143,C4,B3,Mathematics,D7,Physics,B2,Further Mathematics,B2,3.4,Computer Science,200,REJECTED
Grace Nwosu,202567736026CF,149,C5,C4,Mathematics,A1,Physics,A1,Further Mathematics,C6,3.8,Computer Science,200,REJECTED
Aisha Ogundele,202572343098CF,190,B3,C6,English Language,C4,Literature,C4,Further Mathematics,E8,2.8,Mass Communication,180,ALTERNATIVE_COURSE
Kelvin Adeyemi,202521913619EG,174,A1,C4,Biology,C4,Chemistry,D7,Further Mathematics,B2,3.4,Nursing Science,200,REJECTED
Daniel Bello,202553462475CF,220,C4,C5,Mathematics,C4,Fine Art,C4,Further Mathematics,C4,3.0,Architecture,200,QUALIFIED
Daniel Nwosu,202551354278FG,178,C4,F9,Mathematics,F9,Physics,A1,Further Mathematics,B2,2.4,Computer Science,200,REJECTED
Amaka Nzekwe,202524118244EG,160,F9,C6,Mathematics,C4,Fine Art,C5,Further Mathematics,C4,2.4,Architecture,200,REJECTED
Blessing Adeyemi,202564005242HJ,261,B2,C5,Biology,B3,Chemistry,C4,Further Mathematics,D7,3.2,Nursing Science,200,ALTERNATIVE_COURSE
Oluwaseun Chukwu,202505982620FG,202,C5,C4,Mathematics,B2,Economics,E8,Further Mathematics,C5,2.8,Economics,190,ALTERNATIVE_COURSE
Grace Ogundele,202515869232EG,212,D7,C6,Biology,D7,Chemistry,D7,Further Mathematics,B2,2.6,Nursing Science,200,REJECTED
Grace Eze,202521607337FG,160,A1,C5,English Language,B3,Literature,E8,Further Mathematics,C6,3.2,Mass Communication,180,REJECTED
Daniel Olawale,202514586850CF,190,C6,D7,Mathematics,B2,Physics,C5,Further Mathematics,B3,3.2,Civil Engineering,210,ALTERNATIVE_COURSE
Victor Okonkwo,202598169340HJ,213,B2,E8,Mathematics,B3,Physics,B2,Further Mathematics,C4,3.2,Civil Engineering,210,ALTERNATIVE_COURSE
